route number,17
route index,mode,Nodes
1,-1,5,0,1,2,4,6,-1,-1,-1,-1,6110.2,4746.2,3807.8,774,-1,-1,-1,-1,-1,5,5,5,3,-1,-1,-1,-1,-1,200
2,-1,5,0,1,2,4,7,-1,-1,-1,-1,6675.2,5311.2,4373.6,1339,-1,-1,-1,-1,-1,7,7,7,5,-1,-1,-1,-1,-1,300
3,-1,5,0,1,2,4,8,-1,-1,-1,-1,6591.2,5227.2,4289.6,1255,-1,-1,-1,-1,-1,7,7,6,5,-1,-1,-1,-1,-1,600
4,-1,4,0,2,4,6,-1,-1,-1,-1,-1,5530.2,3807.8,774,-1,-1,-1,-1,-1,-1,5,5,3,-1,-1,-1,-1,-1,-1,150
5,-1,4,0,2,4,7,-1,-1,-1,-1,-1,6095.2,4373.6,1339,-1,-1,-1,-1,-1,-1,7,7,5,-1,-1,-1,-1,-1,-1,200
6,-1,4,0,2,4,8,-1,-1,-1,-1,-1,6011.2,4289.6,1255,-1,-1,-1,-1,-1,-1,7,6,5,-1,-1,-1,-1,-1,-1,400
7,-1,4,1,3,4,6,-1,-1,-1,-1,-1,5252.6,3391.8,774,-1,-1,-1,-1,-1,-1,5,4,3,-1,-1,-1,-1,-1,-1,200
8,-1,4,1,3,4,7,-1,-1,-1,-1,-1,6217.6,3956.8,1339,-1,-1,-1,-1,-1,-1,7,7,5,-1,-1,-1,-1,-1,-1,250
9,-1,4,1,3,4,8,-1,-1,-1,-1,-1,5733.6,3872.8,1255,-1,-1,-1,-1,-1,-1,7,6,5,-1,-1,-1,-1,-1,-1,400
10,-1,4,0,1,5,6,-1,-1,-1,-1,-1,5242,2990,1590,-1,-1,-1,-1,-1,-1,10,8,6,-1,-1,-1,-1,-1,-1,400
11,-1,4,0,1,5,7,-1,-1,-1,-1,-1,5784,3532,2132,-1,-1,-1,-1,-1,-1,12,10,8,-1,-1,-1,-1,-1,-1,400
12,-1,4,0,1,5,8,-1,-1,-1,-1,-1,5689,3437,2037,-1,-1,-1,-1,-1,-1,11,10,8,-1,-1,-1,-1,-1,-1,400
13,-1,2,1,6,-1,-1,-1,-1,-1,-1,-1,19815,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,1000
14,-1,2,1,7,-1,-1,-1,-1,-1,-1,-1,16215,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,1000
15,-1,2,1,8,-1,-1,-1,-1,-1,-1,-1,18015,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,1000
16,-1,2,0,7,-1,-1,-1,-1,-1,-1,-1,15615,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,1000
17,-1,2,0,8,-1,-1,-1,-1,-1,-1,-1,27615,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,1000
