Shipment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,
Route,10,10,4,10,10,1,10,1,10,10,1,1,1,7,7,5,11,5,11,11,11,2,11,11,2,2,2,2,8,8,12,12,Self,3,17,Self,Self,9,15,15,Self,Self,Self,Self,Self,Self,Self,Self,10,11,Self,10,5,6,12,Self,17,17,6,12,Self,3,Self,6,6,Self,3,17,Self,Self,9,15,15,Self,Self,Self,9,15,9,Self,
Total capacity in route,8900
Total container number in shipment,3198
Total matched container number,2519
Stable or not,True
Iteration num,502
Restart num,201
CPU time,28.443,s
